taxon,evc.class.code
Amaranthus graecizans subsp. silvestris,DIG
Amaranthus hybridus,SIS
Amaranthus hypochondriacus,SIS
Amaranthus muricatus,DIG
Amaranthus palmeri,SIS
Amaranthus powellii,SIS
Amaranthus retroflexus,SIS
Amaranthus spinosus,DIG
Amaranthus standleyanus,CHE
Amaranthus viridis,DIG
Amblystegium serpens var. salinum,SAG
Ambrosia artemisiifolia,SIS
Ambrosia maritima,AMM
Ambrosia psilostachya,ART
Ambrosia trifida,SIS
Ambrosina bassii,TUB
Amelanchier lamarckii,RHA
Amelanchier ovalis subsp. cretica,RHA
Amelanchier ovalis subsp. ovalis,ERI+PUB+RHA
Amelanchier spicata,RHA
Ammannia auriculata,ORY
Ammannia baccifera,ORY
Ammannia coccinea,ORY
Ammannia robusta,ORY
Ammannia verticillata,ISO+ORY
Ammi huntii,TOL
Ammi majus,PAR
Ammi trifoliatum,TOL
Ammi visnaga,PAR
Ammodaucus leucotrichus subsp. nanocarpus,KLE
Ammoides pusilla,TRA
Ammophila arenaria subsp. arenaria,AMM
Ammophila arenaria subsp. australis,AMM
Amorpha fruticosa,THL
Ampelodesmos mauritanicus,LYG
Amphidium lapponicum,ASP
Amphidium mougeotii,ASP
Amphidium tortuosum,LAU
Amphoricarpos autariatus subsp. autariatus,ASP
Amphoricarpos autariatus subsp. bertisceus,ASP
Amphoricarpos neumayerianus,ASP
Anabasis aphylla,KAL+LER
Anabasis articulata,LYG+PEG
Anabasis cretacea,FES
Anabasis salsa,KAL+LER
Anacamptis collina,TUB
Anacamptis coriophora,FES+MOL
Anacamptis morio subsp. champagneuxii,FES
Anacamptis morio subsp. longicornu,FES
Anacamptis morio subsp. morio,FES
Anacamptis morio subsp. picta,LAV
Anacamptis palustris subsp. elegans,MOL
Anacamptis palustris subsp. palustris,MOL+SCH
Anacamptis papilionacea,LYG
Anacamptis pyramidalis,FES
Anacamptodon splachnoides,FAG
Anacolia menziesii,QUI
Anacolia webbii,CAN
Anacyclus clavatus,CHE
Anacyclus radiatus,CHE
Anacyclus valentinus,CHE
Anagallis arvensis subsp. arvensis,PAR
Anagallis arvensis subsp. latifolia,CHE
Anagallis arvensis subsp. parviflora,ISO
Anagallis crassifolia,LIT
Anagallis foemina,CHE+PAR
Anagallis minima,ISO
Anagallis monelli,AMM+COR
Anagallis tenella,LIT+SCH
Anagyris foetida,QUI
Anagyris latifolia,OLE
Anaphalis margaritacea,EPI
Anarrhinum bellidifolium,ASP+THL
Anarrhinum duriminium,PHA
Anastrophyllum donnianum,TRI
Anastrophyllum joergensenii,TRI
Anchua littorea?,TUB
Anchusa arvensis,PAR
Anchusa azurea,ART+CHE
Anchusa capellii?,GEN
