Code,Name,Status,Class,Family
AEO,Aichryson brevipetalum,,Eudicot,Crassulaceae
AEO,Aichryson divaricatum ,,Eudicot,Crassulaceae
AEO,Aichryson dumosum ,,Eudicot,Crassulaceae
AEO,Aichryson laxum ,,Eudicot,Crassulaceae
AEO,Aichryson pachycaulon ,,Eudicot,Crassulaceae
AEO,Aichryson palmense ,,Eudicot,Crassulaceae
AEO,Aichryson parlatorei ,,Eudicot,Crassulaceae
AEO,Aichryson porphyrogennetos ,,Eudicot,Crassulaceae
AEO,Aichryson punctatum ,,Eudicot,Crassulaceae
AEO,Aichryson tortuosum ,,Eudicot,Crassulaceae
AEO,Aichryson villosum ,,Eudicot,Crassulaceae
ROB,Ailanthus altissima ,A,Eudicot,Simaroubaceae
COR,Aira caryophyllea subsp. caryophyllea*,,Monocotyl,Poaceae
SED,Aira caryophyllea subsp. caryophyllea*,,Monocotyl,Poaceae
TRA,Aira caryophyllea subsp. caryophyllea*,,Monocotyl,Poaceae
TUB,Aira caryophyllea subsp. caryophyllea*,,Monocotyl,Poaceae
CHE,Aira caryophyllea subsp. plesiantha*,,Monocotyl,Poaceae
TUB,Aira caryophyllea subsp. plesiantha*,,Monocotyl,Poaceae
TUB,Aira cupaniana,,Monocotyl,Poaceae
SED,Aira elegantissima* ,,Monocotyl,Poaceae
TUB,Aira elegantissima* ,,Monocotyl,Poaceae
TUB,Aira praecox*,,Monocotyl,Poaceae
COR,Aira praecox* ,,Monocotyl,Poaceae
SED,Aira praecox* ,,Monocotyl,Poaceae
TUB,Aira tenorei ,,Monocotyl,Poaceae
TUB,Airopsis tenella,,Monocotyl,Poaceae
CHE,Aizoon canariense,,Eudicot,Aizoaceae
CHE,Aizoon hispanicum*,,Eudicot,Aizoaceae
SAG,Aizoon hispanicum*,,Eudicot,Aizoaceae
PAR,Ajuga chamaepitys subsp. chamaepitys,,Eudicot,Lamiaceae
FES,Ajuga chamaepitys subsp. chia,,Eudicot,Lamiaceae
FES,Ajuga genevensis,,Eudicot,Lamiaceae
PAR,Ajuga iva* ,,Eudicot,Lamiaceae
TRA,Ajuga iva* ,,Eudicot,Lamiaceae
FES,Ajuga laxmannii ,,Eudicot,Lamiaceae
ULI,Ajuga orientalis,,Eudicot,Lamiaceae
NAR,Ajuga pyramidalis,,Eudicot,Lamiaceae
MOL,Ajuga reptans,,Eudicot,Lamiaceae
ART,Alcea biennis ,A,Eudicot,Malvaceae
ART,Alcea rosea ,A,Eudicot,Malvaceae
MOL,Alchemilla acrodon ,,Eudicot,Rosaceae
SES,Alchemilla acuminatidens ,,Eudicot,Rosaceae
TRI,Alchemilla acutata ,,Eudicot,Rosaceae
SES,Alchemilla acutidens ,,Eudicot,Rosaceae
MOL,Alchemilla acutiloba* ,,Eudicot,Rosaceae
MUL,Alchemilla acutiloba* ,,Eudicot,Rosaceae
MON,Alchemilla aggregata ,,Eudicot,Rosaceae
VIR,Alchemilla alneti ,,Eudicot,Rosaceae
SES,Alchemilla alpigena ,,Eudicot,Rosaceae
TRI,Alchemilla alpina ,,Eudicot,Rosaceae
SES,Alchemilla amphibola ,,Eudicot,Rosaceae
ASP,Alchemilla amphisericea*,,Eudicot,Rosaceae
SES,Alchemilla amphisericea*,,Eudicot,Rosaceae
ULI,Alchemilla angustiserrata,,Eudicot,Rosaceae
SES,Alchemilla anisiaca ,,Eudicot,Rosaceae
LOI,Alchemilla argentidens ,,Eudicot,Rosaceae
ASP,Alchemilla atriuscula,,Eudicot,Rosaceae
SES,Alchemilla atrovirens ,,Eudicot,Rosaceae
SES,Alchemilla bonae ,,Eudicot,Rosaceae
ONO,Alchemilla brachetiana ,,Eudicot,Rosaceae
SES,Alchemilla buseri ,,Eudicot,Rosaceae
MOL,Alchemilla canifolia ,,Eudicot,Rosaceae
MOL,Alchemilla carinthiaca ,,Eudicot,Rosaceae
SES,Alchemilla carniolica ,,Eudicot,Rosaceae
MUL,Alchemilla cataractarum ,,Eudicot,Rosaceae
ULI,Alchemilla caucasica,,Eudicot,Rosaceae
SES,Alchemilla cavillieri ,,Eudicot,Rosaceae
SES,Alchemilla chirophylla ,,Eudicot,Rosaceae
SES,Alchemilla cinerea ,,Eudicot,Rosaceae
